"Operatingsystem","LimitonIA-32","Limitonx64"
"WindowsNT4.0","4GB","N/A"
"Windows2000Professional/Server","4GB","N/A"
"Windows2000AdvancedServer","8GB","N/A"
"Windows2000Datacenter","32GB","N/A"
"WindowsXPStarter","512MB","N/A"
"WindowsXPHome","4GB","N/A"
"WindowsXPProfessional","4GB","128GB"
"WindowsServer2003RTMWeb","2GB","N/A"
"WindowsServer2003RTMStandard/SmallBusiness","4GB","N/A"
"WindowsServer2003RTMEnterprise/Datacenter","64GB","N/A"
"WindowsServer2003R2/SP1Standard","4GB","32GB"
"WindowsServer2003R2/SP1Enterprise/Datacenter","64GB","1TB"
"WindowsVistaStarter","1GB","N/A"
"WindowsVistaHomeBasic","4GB","8GB"
"WindowsVistaHomePremium","4GB","16GB"
"WindowsVistaBusiness/Enterprise/Ultimate","4GB","128GB"
"WindowsHomeServer","4GB","N/A"
"WindowsServer2008WebServer/Standard/SmallBusiness","4GB","32GB"
"WindowsHPCServer2008","N/A","128GB"
"WindowsServer2008Enterprise/Datacenter","64GB","1TB"
"Windows7Starter","2GB","N/A"
"Windows7HomeBasic","4GB","8GB"
"Windows7HomePremium","4GB","16GB"
"Windows7Professional/Enterprise/Ultimate","4GB","192GB"
"WindowsServer2008R2Foundation","N/A","8GB"
"WindowsServer2008R2WebServer/Standard","N/A","32GB"
"WindowsHPCServer2008R2","N/A","128GB"
"WindowsServer2008R2Enterprise/Datacenter","N/A","2TB"
"Windows8","4GB","128GB"
"Windows8Pro/Enterprise","4GB","512GB"
"WindowsServer2012Foundation","N/A","32GB"
"WindowsServer2012Essentials","N/A","64GB"
"WindowsServer2012Standard/Datacenter","N/A","4TB"
"WindowsStorageServer2012Standard","N/A","4TB"
"WindowsStorageServer2012Workgroup","N/A","32GB"
"Hyper-VServer2012","N/A","4TB"
"Windows10Mobile","4GB","N/A"
"Windows10Home","4GB","128GB"
"Windows10Pro","4GB","2TB"
"Windows10Education","4GB","2TB"
"Windows10Enterprise","4GB","6TB"
"WindowsServer2016Standard","N/A","24TB"
"WindowsServer2016Datacenter","N/A","24TB"
"WindowsServer2019Standard","N/A","24TB"
"WindowsServer2019Datacenter","N/A","24TB"
"Windows11Home","4GB","128GB"
"Windows11Pro","4GB","2TB"
