"Model","Typeofdevice","Brand","Releaseyear","Operatingsystem","OSversion","Kernel","UIandversion","Comment"
"ArimaU300","Smartphone","Arima","","SymbianOS","7.0","","UIQ2.0",""
"ArimaU308","Smartphone","Arima","","SymbianOS","7.0","","UIQ2.1",""
"BenqP30","Smartphone","Benq","","SymbianOS","7.0","","UIQ2.0",""
"BenqP31","Smartphone","Benq","","SymbianOS","7.0","","UIQ2.1",""
"DoCoMoF-06B","Featurephone","Fujitsu","","Symbian^2","9.5","","MOAP(S)",""
"DoCoMoF-07B","Featurephone","Fujitsu","","Symbian^2","9.5","EKA2","MOAP(S)",""
"DoCoMoF-08B","Featurephone","Fujitsu","","Symbian^2","9.5","EKA2","MOAP(S)",""
"LenovoP930","Smartphone","Lenovo","","SymbianOS","8.0a","","S602ndEdition,FeaturePack2,version2.6",""
"LGKS10","Smartphone","LG","2007","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"LGKT610","Smartphone","LG","2008","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"LGKT615","Smartphone","LG","2008","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
"MotorolaA920","Smartphone","Motorola","","SymbianOS","7.0","","UIQ2.0",""
"MotorolaA925","Smartphone","Motorola","","SymbianOS","7.0","","UIQ2.0",""
"MotorolaA1000","Smartphone","Motorola","","SymbianOS","7.0","","UIQ2.1",""
"MotorolaM1000","Smartphone","Motorola","","SymbianOS","7.0","","UIQ2.1",""
"MotorolaRIZRZ8","Smartphone","Motorola","","SymbianOS","9.2","","UIQ3.1","FirstmodelwithUIQ3.1"
"MotorolaRIZRZ10","Smartphone","Motorola","","SymbianOS","9.2","","UIQ3.2","FirstmodelwithUIQ3.2"
"Nokia3230","Smartphone","Nokia","","SymbianOS","7.0s","","S602ndEdition,FeaturePack1,version2.1",""
"Nokia3250","Smartphone","Nokia","2006","SymbianOS","9.1","","S603rdEdition,version3",""
"Nokia3600","Smartphone","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"Nokia3620","Smartphone","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"Nokia3650","Smartphone","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"Nokia3660","Smartphone","Nokia","","SymbianOS","6.1","","S601stEdition,FeaturePack1,version1.2",""
"Nokia5228","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5230","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5233","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5250","Smartphone","Nokia","2010","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5320","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia5500Sport","Smartphone","Nokia","","SymbianOS","9.1","","S603rdEdition,version3",""
"Nokia5530XpressMusic","Smartphone","Nokia","","Symbian^1","9.4","EKA2","S605thEdition,version5",""
"Nokia5630XpressMusic","Smartphone","Nokia","","SymbianOS","9.3","","S603rdEdition,FeaturePack2,version3.2",""
"Nokia5700XpressMusic","Smartphone","Nokia","","SymbianOS","9.2","","S603rdEdition,FeaturePack1,version3.1",""
