"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"WebofScienceDataset","HierarchicalDatasetsforTextClassification","None.","46,985","Text","Classification,Categorization","2017","","K.Kowsarietal."
"LegalCaseReports","FederalCourtofAustraliacasesfrom2006to2009.","None.","4,000","Text","Summarization,citationanalysis","2012","","F.Galganietal."
"BloggerAuthorshipCorpus","Blogentriesof19,320peoplefromblogger.com.","Bloggerself-providedgender,age,industry,andastrologicalsign.","681,288","Text","Sentimentanalysis,summarization,classification","2006","","J.Schleretal."
"SocialStructureofFacebookNetworks","LargedatasetofthesocialstructureofFacebook.","None.","100collegescovered","Text","Networkanalysis,clustering","2012","","A.Traudetal."
"DatasetfortheMachineComprehensionofText","Storiesandassociatedquestionsfortestingcomprehensionoftext.","None.","660","Text","Naturallanguageprocessing,machinecomprehension","2013","","M.Richardsonetal."
"ThePennTreebankProject","Naturallyoccurringtextannotatedforlinguisticstructure.","Textisparsedintosemantictrees.","~1Mwords","Text","Naturallanguageprocessing,summarization","1995","","M.Marcusetal."
"DEXTERDataset","Taskgivenistodetermine,fromfeaturesgiven,whicharticlesareaboutcorporateacquisitions.","Featuresextractedincludewordstems.Distractorfeaturesincluded.","2600","Text","Classification","2008","","Reuters"
"GoogleBooksN-grams","N-gramsfromaverylargecorpusofbooks","None.","2.2TBoftext","Text","Classification,clustering,regression","2011","","Google"
"PersonaeCorpus","CollectedforexperimentsinAuthorshipAttributionandPersonalityPrediction.Consistsof145Dutch-languageessays.","Inadditiontonormaltexts,syntacticallyannotatedtextsaregiven.","145","Text","Classification,regression","2008","","K.Luyckxetal."
"CNAE-9Dataset","CategorizationtaskforfreetextdescriptionsofBraziliancompanies.","Wordfrequencyhasbeenextracted.","1080","Text","Classification","2012","","P.Ciarellietal."
"SentimentLabeledSentencesDataset","3000sentimentlabeledsentences.","Sentimentofeachsentencehasbeenhandlabeledaspositiveornegative.","3000","Text","Classification,sentimentanalysis","2015","","D.Kotzias"
"BlogFeedbackDataset","Datasettopredictthenumberofcommentsapostwillreceivebasedonfeaturesofthatpost.","Manyfeaturesofeachpostextracted.","60,021","Text","Regression","2014","","K.Buza"
"StanfordNaturalLanguageInference(SNLI)Corpus","Imagecaptionsmatchedwithnewlyconstructedsentencestoformentailment,contradiction,orneutralpairs.","Entailmentclasslabels,syntacticparsingbytheStanfordPCFGparser","570,000","Text","Naturallanguageinference/recognizingtextualentailment","2015","","S.Bowmanetal."
"DSLCorpusCollection(DSLCC)","Amultilingualcollectionofshortexcerptsofjournalistictextsinsimilarlanguagesanddialects.","None","294,000phrases","Text","Discriminatingbetweensimilarlanguages","2017","","Tan,Lilingetal."
"UrbanDictionaryDataset","Corpusofwords,votesanddefinitions","Usernamesanonymised","2,580,925","CSV","NLP,Machinecomprehension","2016May","","Anonymous"
"T-REx","WikipediaabstractsalignedwithWikidataentities","AlignmentofWikidatatripleswithWikipediaabstracts","11Malignedtriples","JSONandNIF[2]","NLP,RelationExtraction","2018","","H.Elsaharetal."
"GeneralLanguageUnderstandingEvaluation(GLUE)","Benchmarkofninetasks","Various","~1Msentencesandsentencepairs","","NLU","2018","","Wangetal."
"ContractUnderstandingAtticusDataset(CUAD)(formerlyknownasAtticusOpenContractDataset(AOK))","Datasetoflegalcontractswithrichexpertannotations","","~13,000labels","CSVandPDF","Naturallanguageprocessing,QnA","2021","","TheAtticusProject"
"VietnameseImageCaptioningDataset(UIT-ViIC)","VietnameseImageCaptioningDataset","","19,250captionsfor3,850images","CSVandPDF","Naturallanguageprocessing,Computervision","2020","","Lametal."
"VietnameseNamesannotatedwithGenders(UIT-ViNames)","VietnameseNamesannotatedwithGenders","","26,850Vietnamesefullnamesannotatedwithgenders","CSV","Naturallanguageprocessing","2020","","Toetal."
"VietnameseConstructiveandToxicSpeechDetectionDataset(UIT-ViCTSD)","VietnameseConstructiveandToxicSpeechDetectionDataset","","10,000Vietnameseusers'commentsononlinenewspaperson10domains","CSV","NaturalLanguageProcessing","2021","","Nguyenetal."
"ColBERTDataset","Shortjokes.","Outliersremoved.","200,000","Text","Humordetection,classification","2020","","Annamoradnejadetal."
