"","Web-related","Web-related","Web-related","","","","","Web-related"
"Name","Conditionalcompilation","Sockets","Multi-threading","Tabling","HTTPclient","HTTPserver","HTMLParser","RDFTriplestore"
"BProlog","","","","Yes","","","",""
"Ciao","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"ECLiPSe","Yes","Yes","Yes","","Yes","","Yes",""
"GNUProlog","","Yes","","","","","",""
"LPA-Prolog","","Yes","","","Yes","Yes","Yes",""
"SICStusProlog","Yes","Yes","Yes","","","","",""
"SWI-Prolog","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"VisualProlog","Yes","Yes","Yes","","Yes","Yes","Yes",""
"XSB","Yes","Yes","Yes","Yes","Yes","","",""
"YAP-Prolog","Yes","Yes","Yes","Yes","","","",""
