"Editor","CSS2","CSS3","Frames","Java","JavaScript","XSLT","XHTML","MathML","XForms","RSS","Atom","XPath"
"Amaya","Partial","?","No","No","No","No","Yes","Yes","No","No","No","?"
"Aptana","Yes","?","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"Arachnophilia","Yes","?","Yes","?","Yes","?","Yes","?","?","?","?","?"
"Bluefish","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon","Yes(viacommercialproprietaryadd-on)","?","?","?","?","?","Yes","Yes(viacommercialproprietaryadd-on)","?","?","?","?"
"Brackets","Yes","?","Yes","Yes","Yes","?","Yes","?","?","Yes","Yes","?"
"ClarisHomepage","Partial","?","Yes","No","Yes","No","No","No","No","No","No","No"
"Codelobster","Yes","?","Yes","No","Yes","Yes","Yes","No","No","No","No","No"
"CoffeeCupHTMLEditor","Yes","?","Yes","No","Yes","No","Yes","No","No","Yes","Yes","No"
"Dreamweaver","Yes","?","Yes","Yes","Yes","Yes","Yes","Partial","Yes[1]","Yes","?","Yes"
"Freeway","Yes","?","Yes","Partial","Yes","Yes","Yes","No","No","Yes","No","No"
"GoLive","Yes","?","Yes","Yes","Yes","No","Yes","No","No","No","No","No"
"HTML-Kit","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"KompoZer","Yes","?","No","Yes","Yes","No","Yes","No","No","No","No","No"
"LibreOffice","Yes","?","Yes","Yes(optional)","Yes(andPython)","Yes","Yes","Yes","?","?","?","?"
"Maqetta","Yes","?","?","No","Yes","?","?","?","?","?","?","?"
"MicrosoftExpressionWeb","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"MicrosoftFrontPage","Partial","?","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No"
"MicrosoftSharePointDesigner","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"MicrosoftVisualWebDeveloper","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Nvu","Yes","?","No","No","Yes","No","Yes","No","No","No","No","No"
"openElement","Yes","?","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No"
"OpenOffice.org","Yes","?","Yes","?","Yes","Yes","Yes","Yes","?","?","?","?"
"oXygenXMLEditor","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"QuantaPlus","Yes","?","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","?","Yes"
"RocketCake","Yes","?","No","Yes","Yes","?","?","?","No","No","No","?"
"SeaMonkeyComposer","Yes","?","Yes","No","Yes","No","Yes","Yes(rendering,butnotools)","No","No","No","?"
"TOWeb","Yes","?","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No"
"WebArchitect","Yes","?","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","?"
"WebStormIDE","Yes","?","Yes","No","Yes","Yes","Yes","No","No","?","?","Yes"
"Editor","CSS2","CSS3","Frames","Java","JavaScript","XSLT","XHTML","MathML","XForms","RSS","Atom","XPath"
