"Protocol","Creator","Firstpublicreleasedate","License","Identity(notinc.alias)","Asynchronousmessagerelaying","TransportLayerSecurity","End-to-endencryption","Unlimitednumberofcontacts","Bulletinstoallcontacts","One-to-manyrouting","Spamprotection","Group,channelorconferencesupport","Audio/VoIPsupport","Webcam/Video","Batchfilesharing","Mediasynchronization","Serverless","Protocol"
"Bitmessage","JonathanWarren","2012Nov","Openstandard","Alphanumericaddress","Yes","Yes","Yes","Yes","No","Yes","Yes(throughproof-of-work)","Yes","No","No","Yes","No","Yes","Bitmessage"
"Bonjour","AppleInc.","2002August","ProprietaryFreeware;portionsundertheApachelicense","Username","No","No","No","Yes","No","multicast","Medium","No","No","No","Yes","No","Yes","Bonjour"
"Briar","Briarproject.org","2018May9","Openstandard","Public&Privatekey(viaQRCodes)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","Yes","Briar"
"Echo","spot-on.sf.net/goldbug.sf.net","2013","Openstandard","Key","Yes","Yes,optional","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Echo"
"Gadu-Gadu","GGNetwork","2000Jul17","Proprietary","Uniquenumbere.g.12345678","Yes","Yes","No","Yes","No","Centralistic","Yes(simple)","Yes","Yes","Yes","Yes","No","No","Gadu-Gadu"
"IRC","JarkkoOikarinen","1988Aug","Openstandard","Nickname!Username@hostname(or""hostmask"")e.g.user!~usr@a.b.com","Yes,butviaamemosystemthatdiffersfromthemainsystem","Yes,dependingonindividualserversupport","OTRbyDMtoclient-to-clientonly","No","No","Simplisticmulticast","Medium","Yes(everyone,multiplesimultaneous,anysize)","No","No","Yes","No","No","IRC"
"Jami(basedonDHTandSIP)","Savoir-faireLinuxInc.","2002August","OpenStandard","40-digitaddress","Yes","Yes","Yes","Yes","No","Yes","Medium","Yes","Yes","Yes","Yes","No","Yes","Jami(basedonDHTandSIP)"
"Matrix","Matrix.org","2014Sep","Openstandard","@Username:Hostname(MXID)","Yes","Yes,mandatory","Yes,defaultforprivateconversations","Yes","Yes","Yes","Yes(usingpluggableserver-sidefilteringmodulesandcontactignoring)","Yes","Yes","Yes","Yes","Yes","Underdevelopment","Matrix"
"MSNP(WindowsLiveMessenger,etc.)","Microsoft","1999Jul","Proprietary","Emailaddress(Microsoftaccount)","Yes","No","No","Onlyforcertifiedrobots","No","Centralistic","Yes","Yes","Yes","Yes","Yes","Yes","No","MSNP(WindowsLiveMessenger,etc.)"
"MTProto(Telegram)","TelegramMessengerLLP","2013Aug","Openstandard","Phonenumber(e.g.+1234567890),nickname(e.g.@example)","Yes","Yes","Noend-to-endencryptionforgroupchats","Yes","No","Yes","Yes,contactblocking","Yes","Yes","Yes","Yes","Yes","No","MTProto(Telegram)"
