"Pumptype","Cyclic/continuous?","Maximumliftheight","Productioncost","Efficiency","Output","Sizeofdevice","Fabricationrequirements","Difficultyofproduction","Durability","Difficultyofrepair","Suctionlift?"
"Archimedeanscrew","continuous",">2m","medium","medium","medium-high","?","?","industrial","?","?","no"
"Chain(orrope)andwasherpump","continuous","3m-20m","medium-high","medium-high","medium","?","?","traditional","?","?","no"
"Coilpumpandspiralpump","continuous",">6m","medium","medium","low-medium","?","?","traditional","?","?","no"
"Diaphragmpump","cyclic","5m-10m","medium","medium-high","medium","?","?","industrial","?","?","yes"
"Flashwheelandtreadmill",">2m","low-medium","low-medium","medium-high","?","?","?","traditional/industrial","?","?","no"
"Flexiblevanepump","continuous","10m-20m","medium-high","medium","medium","?","?","industrial","?","?","yes"
"Gasorvapourdisplacementpump","cyclic","5m-50m","medium","medium","medium-high","?","?","industrial","?","?","no/yes"
"Gearandlobepump","continuous","10m-20m","medium","low-medium","verylow","?","?","industrial","?","?","yes"
"Openscrewpump","continuous",">6m","high","medium-high","medium-high","?","?","industrial","?","?","no"
"Peristalticpump","continuous",">3m","medium","medium","verylow","?","?","industrial","?","?","yes"
"Petropump","continuous","10m-100m","medium-high","high","low-medium","?","?","industrial","?","?","?"
"Porousrope","continuous","3m-10m","?","?","low-medium","?","?","industrial","?","?","no"
"Progressivecavitypump(Moyno)","continuous","10m-100m","medium-high","medium-high","medium","?","?","industrial","?","?","no"
"Pistonpump,bucketpump","cyclic","2m-200m","medium-high","high","medium","?","?","traditional/industrial","?","?","yes"
"Plungerpump","cyclic","100m-500m","high","medium-high","low-medium","?","?","traditional","?","?","yes"
"PulserPump","cyclic","1-300m","low-medium","low","low-medium","small-huge","?","traditional","veryhigh","easy","no"
"Semi-rotarypump","cyclic","5m-10m","low-medium","low-medium","low-medium","?","?","industrial","?","?","yes"
"Waterladder","cyclic",">2m","medium","medium","medium","?","?","traditional","?","?","no"
