"","Flatfile","MySQL","MySQLi","PostgreSQL","MSSQL","Oracle","SQLite","Firebird","ApacheDerby","MongoDB"
"ApacheOFBiz","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No"
"Batavi","No","Yes","No","No","No","No","No","No","No","No"
"BigCommerce","No","Yes","No","Yes","No","No","No","No","No","No"
"DrupalCommerce","No","Yes","Yes","Yes","No","No","Yes","No","No","discontinued"
"KonaKart","No","Yes","No","Yes","Yes","Yes","No","No","No","No"
"Magento","No","Yes","Yes","No","No","No","No","No","No","No"
"nopCommerce","No","No","No","No","Yes","No","No","No","No","No"
"OpenCart","No","Yes","Yes","No","No","No","No","No","No","No"
"osCommerce","No","Yes","No","No","No","No","No","No","No","No"
"pimcore","No","Yes","No","No","No","No","No","No","No","No"
"PrestaShop","No","Yes","Yes","No","No","No","No","No","No","No"
"Shopify","No","Yes","Yes","No","No","No","No","No","No","No"
"SpreeCommerce","No","Yes","Yes","Yes","No","No","Yes","No","No","No"
"SupaDupa","No","Yes","Yes","No","No","No","No","No","No","No"
"WooCommerce","No","Yes","Yes","No","No","No","No","No","No","No"
"X-Cart","No","Yes","Yes","Yes","No","No","No","No","No","No"
"ZenCart","No","Yes","Yes","No","No","No","No","No","No","No"
"","Flatfile","MySQL","MySQLi","PostgreSQL","MSSQL","Oracle","SQLite","Firebird","ApacheDerby","MongoDB"
