"JVM","x86","x86-64","SPARC","MIPS","Itanium","PowerISA","ARM","Alpha","S/390","z/Architecture","m68k"
"GCJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"HotSpot,OpenJDKedition","Yes","Yes","Solarisonly","Port","No","PowerPC/AIXport","Yes","No","No","No","No"
"HotSpot,OracleJDKedition","Yes","Yes","Solarisonly","No","Java1.6","No","Yes","No","No","No","No"
"HotSpot,JavaSEembeddededition","Yes","Yes","Yes","?","?","Yes","Yes","?","?","?","?"
"HotSpot,Zeroport","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No"
"IKVM.NET","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework.","Anyarchitecturewitha.NETframework."
"JAmiga","?","?","No","No","No","Yes","No","No","No","No","Yes"
"JamVM","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No"
"JatoVM","Yes","Underdevelopment","No","No","No","Underdevelopment","PreliminaryARMv5support","No","No","No","No"
"JCvirtualmachine","Yes","No","No","No","No","No","No","No","No","No","No"
"JikesRVM","Yes","No","No","No","No","Yes","No","No","No","No","No"
"Kaffe","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"MysaifuJVM","No","No","No","No","No","No","Yes","No","No","No","No"
"SableVM","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
