"Virtualmachine","Machinemodel","Memorymanagement","Codesecurity","Interpreter","JIT","AOT","Sharedlibraries","CommonLanguageObjectModel","Dynamictyping"
"AndroidRuntime(ART)","register","automatic","Yes","Yes","Yes","Yes","?","Yes","Yes"
"CommonLanguageRuntime(CLR)","stack","automaticormanual","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dis(Inferno)","register","automatic","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DotGNUPortable.NET","stack","automaticormanual","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Javavirtualmachine(JVM)","stack","automatic","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"JikesRVM","stack","automatic","Yes","Yes","Yes","Yes","?","Yes","Yes"
"LLVM","register","manual","No","Yes","Yes","Yes","Yes","Yes","No"
"Mono","stack","automaticormanual","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Parrot","register","automatic","No","Yes","No","Yes","Yes","Yes","Yes"
"Dalvik","register","automatic","Yes","Yes","Yes","No","?","No","No"
"Squeak","stack","automatic","No","Yes","Yes","No","Yes","No","Yes"
"BEAM(Erlang)","register","automatic","?","Yes","Yes","Yes","Yes","Yes","Yes"
"MoarVM","register","automatic","?","Yes","Yes","Yes","Yes","Yes","Yes"
