"ResearchNetworkingTool","h-index","Citationcount","Altmetrics","SNIPandSJR","JournalImpactFactor*","Other","Comment"
"AcademicRoom","","","","","","",""
"AcademicLabs","Soon","Yes","","Yes","","",""
"ActivityInsight","Yes","Yes","Yes","Yes","Yes","",""
"C-IKNOW","","","","","","",""
"PROFILESbyMentis(formerlyCollaborativePartnership/ProfileSystem)","Yes","Yes","Yes","Yes","Yes","",""
"CommunityAcademicProfiles-CAP","","","","","","",""
"Converis","Yes","Yes","YesCanintegratewithaltmetricdatafeed","No","Yes","CategoryNormalizedCitationImpact,JournalNormalizedCitationImpact,PercentileinCategory,HighlyCitedPaper,HotPaper,InternationalCollaboration,InstitutionalCollaboration,IndustryCollaborationandOpenAccess",""
"CurvitaProfileManager","","","","","","",""
"CUSP-ColumbiaUniversityScientificProfiles","","","","","","",""
"DigitalVita","","","","","","",""
"Elsevier'sPure(integratedwithSciVal)","Yes","Yes","YesAltmetricandPlumX","Yes","No","Field-weightedCitationImpact,NumberofAuthors,CiteScore","",""
"Elsevier'sSciVal","Yes","Yes","YesViewsdatafromScienceDirectandScopus","Yes","No","20+indicatorsrangingfromh,g&mindices,toPublicationsinTopJournalPercentiles,Field-WeightedCitationImpact,Academic-CorporateCollaborationImpact&ViewsperPublication",""
"EpernicusSolutions&EpernicusNetwork","","","","","","",""
"ERIMMemberProfileSystem(ERIMMIS)","","","","","","",""
"Esploro","YesPlanned","Yesintegratedwithexternaltools","Yes","Yesplanned","Yesplanned","Multipleresearch-relatedindicatorstomeasureresearchoutputsusageandimpact",""
"EUREKA!EnhancingStudentResearch","","","","","","",""
"Expertise@Maryland","","","","","","",""
"FacultyProfileSystem","","","","","","",""
"FacultyResearchInformationProfile(FRIP)","","","","","","",""
"FacultyScholarlyProductivityIndex","","","","","","",""
"GENIUS","","","","","","",""
"GoogleScholar","Yes","","","","","",""
"HUBzero","","","","","","",""
"iamResearcher","","","","","","",""
"iAMscientist","","","","","","",""
"i2iConnect","","","","","","",""
"InCites","Yes","Yes","YesRecordedFuturepartnershipprovidescustomizednewsfeedandinstitionactivityfromwebcontent","No","Yes","",""
"INDURE","","","","","","",""
"LatticeGrid","","","","","","",""
"LattesDatabase","","","","","","",""
"LinkedIn","No","No","None","","","",""
"LifeScienceNetwork","No","No","Yes(viewscounts,recommendations,ratingscorescalculatedfromanonymousandnon-anonymouscontributions)","No","No(butjournalscanbeenteredintothedatabaseandtheirIFindicated)","",""
"Loki","","","","","","",""
"Lyterati","","","","","","",""
"McCormickCollaborationVisualizationTool","","","","","","",""
"MizzouLinks","","","","","","",""
"MyScienceWork","","","","","","",""
"OSU:pro","","","","","","",""
"Pivot","","","","","","",""
"Portfolio&Showroom","No","No","No","No","No","","Portfolio&Showroomdeliberatelydispenseswithbibliometricsandfocusesonalternativequalitymeasurementmethods,suchastheDORAinitiative"
"Profiles","","","","","","",""
"ReachNC","Yes","","","","","",""
"ResearchAccelerator","","","","","","",""
"ResearcherID","Yes","Yes","","","","",""
"SciENcv","","","","","","",""
"SymplecticElements","Yes","Yes","Yes","Yes","Yes","",""
"VIVO","","","Yes","","","",""
"Yaffle","","","","","","",""
