"Fileformat","OfficeOpenXML","OpenDocument"
"Basedonaformatdevelopedby","Microsoft","StarDivision/SunMicrosystems"
"Predecessorfileformat","MicrosoftOfficeXMLformats","OpenOffice.orgXML"
"Standardizedby","EcmaInternational,ISO/IEC","OASIS,ISO/IEC"
"Firstpublicreleasedate","2006","2005"
"Firststableversion","EcmaInternationalStandardECMA-376OfficeOpenXMLFileFormats1stedition","OASISOpenDocumentFormatforOfficeApplications(OpenDocument)v1.0"
"Lateststableversion","ISO/IECIS29500-1:2012—OfficeOpenXMLFileFormats","OASISOpenDocumentFormatforOfficeApplications(OpenDocument)v1.3"
"LatestISO/IECstandardisedversion","ISO/IECIS29500-1:2012—OfficeOpenXMLFileFormats","ISO/IECIS26300:2006—OpenDocumentFormatforOfficeApplications(OpenDocument)v1.0"
"Languagetype","Markuplanguage(XML)","Markuplanguage(XML)"
"XMLschemarepresentation","XMLSchema(W3C)(XSD)andRELAXNG(ISO/IEC19757-2)","RELAXNG(ISO/IEC19757-2)"
"Expressionofextensibilityrules","NVDL(ISO/IEC19757-4)",""
"Compressionformat","ZIP","ZIP"
"Containerstructure","OpenPackagingConventions(ISO/IEC29500-2:2012)","ODFPackage"
"Metadataformat","DublinCore(ISO15836)","subsetofDublinCoreand“urn:oasis:names:tc:opendocument:xmlns:meta”elements"
"Drawinglanguage","DrawingML,VML","“urn:oasis:names:tc:opendocument:xmlns:drawing”elementsand“urn:oasis:names:tc:opendocument:xmlns:svg-compatible”elements"
"Mathematicalnotationlanguage","OfficeMathML(OMML)","MathML"
"Change-tracking","supported","supported"
"Conditionalformattinginspreadsheets","supported","supported"
"Spreadsheetformulalanguage","partofthestandard","basedonOpenFormula"
"Macrolanguage","application-defined","application-defined"
"Digitalsignatures","partofthestandard","supported"
"Thumbnails","JPEG(ISO/IEC10918)","PNG(ISO/IEC15948)"
"Interchangeofdigitalfontinformation","OpenFontFormat(ISO/IEC14496-22)",""
"PANOSEfontspecifications","partofthestandard",""
"Filenameextensions","docx,docm,xlsx,xlsm,pptx,pptm","odt,ods,odp,odg,odf"
"Internetmediatypes","application/vnd.openxmlformats-officedocument.wordprocessingml.documentapplication/vnd.ms-word.document.macroEnabled.12application/vnd.openxmlformats-officedocument.spreadsheetml.sheetapplication/vnd.ms-excel.sheet.macroEnabled.12application/vnd.openxmlformats-officedocument.presentationml.presentationapplication/vnd.ms-powerpoint.presentation.macroEnabled.12","application/vnd.oasis.opendocument.textapplication/vnd.oasis.opendocument.spreadsheetapplication/vnd.oasis.opendocument.presentationapplication/vnd.oasis.opendocument.graphicsapplication/vnd.oasis.opendocument.formula"
"Applicationsupport","OfficeOpenXMLsoftware","OpenDocumentsoftware"
"Standardlicensing","ISO/IECcopyrightedfreedownloadEcmacopyrightedfreedownload/copyingallowed","ISO/IECcopyrightedfreedownloadOASIScopyrightedfreedownload/copyingallowed"
"Additionaltechnologypatentlicensing","Reasonableandnon-discriminatorylicensing(RAND-Z)MicrosoftOpenSpecificationPromise(OSP)MicrosoftCovenantNottoSue(CNS)","SunMicrosystemsintellectualpropertycovenantIBMInteroperabilitySpecificationsPledge"
"Implementationscoveredbypatentlicense","Patentlicensecoversconformingimplementations","Patentlicensecoversfullycompliantimplementations"
"Implemented","MicrosoftOffice2013(andlater)CollaboraOffice,CollaboraOnline,LibreOffice(forMicrosoftOffice2007OfficeOpenXML)andSoftMakerOffice","ManyincludingCollaboraOffice,CollaboraOnline,LibreOffice,OpenOffice.org,KOffice,AbiWord,LotusNotesandMicrosoftOffice(since2007SP2)"
"Fileformat","OfficeOpenXML","OpenDocument"
