"","TGA","RAWimports","BMP","GIF","JPEG","JPEG2000","HDPhoto","PNG","TIFF","PSD","PSP","XCF","PCX","ORA","HEIF"
"CorelPaintShopPro","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial","Yes","No","Yes","",""
"CorelPainter","?","?","Yes","Yes","Yes","No","","No","Yes","Yes","Yes","No","Import","",""
"CorelPhoto-Paint","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","No","Yes","",""
"darktable","?","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No","",""
"DeluxePaint*","No","No","No","No","No","No","","No","No","No","No","No","No","",""
"DigiKam","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","No","No","Yes","?","",""
"ErdasImagine","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Import","",""
"Fatpaint","?","No","No","No","Yes","No","No","Yes","No","No","No","No","No","",""
"Fotografix","?","Partial","Yes","Yes","Yes","No","No","Yes","Yes","Importonly","No","Importonly","Importonly","",""
"GIMP","Yes","Yes","Yes","Yes","Yes","Yes","Viaplug-in","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"GIMPshop","?","?","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","",""
"GrafX2","?","No","Yes","Yes","Importonly","No","No","Yes","Yes","No","No","No","Yes","",""
"GraphicConverter","?","Partial","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","",""
"HDRPhotoStudio","?","Yes","Yes","No","Yes","No","No","No","Yes","No","No","No","No","",""
"HeliconFilter","?","Yes","Yes","Import","Yes","Yes","No","Yes","Yes","Yes","No","No","No","",""
"ImageMagick","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","",""
"iPhoto*","?","Yes","?","?","Yes","?","No","Yes","Yes","Yes","?","?","Yes","",""
"IrfanView","?","Viaplug-in","Yes","Yes","Yes","Viaplug-in","Viaplug-in","Yes","Yes","Yes","Yes","Viaplug-in","Yes","",""
"IridientDeveloper","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","?","?","?","",""
"Kolourpaint","?","?","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Import","Yes","",""
"Krita","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","Yes","Import","Yes",""
"LiveQuartz","?","Partial","Yes","Yes","Yes","Yes","No","Yes","Yes","Partial","?","?","?","?","Yes"
"LazPaint","?","","Yes","Yes","Yes","","","Yes","","","","","","Yes",""
"MacPaint*","?","No","?","No","No","No","No","No","No","No","No","No","No","",""
"MicrosoftOfficePictureManager*","?","?","Yes","Yes","Yes","No","","Yes","Firstpageonly","No","No","No","Yes","",""
"MicrosoftPaint","?","No","Yes","Partial","Yes","No","No","Partial","Yes","No","No","No","No","",""
"MicrosoftPhotoEditor*","?","No","Yes","Yes","Yes","No","","Yes","No","No","No","No","Import","",""
"mtPaint","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","No","No"
"OpenCanvas","?","?","Yes","No","Yes","No","No","Yes","No","Yes","No","No","?","",""
"Paint.NET","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Viaplug-ins","Partial","No","No","Yes","",""
"PaintToolSAI","Yes","No","Yes","No","Yes","?","No","Yes","No","Yes","No","No","No","No","No"
"PCPaintbrush*","?","?","No","Yes","No","No","","No","Yes","No","No","No","Yes","",""
"Photogenics","?","?","Yes","Yes","Yes","?","","Yes","Yes","Yes","?","?","Yes","",""
"PhotoLine","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","",""
"PhotoPerfect*","?","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Nolayersupport","Yes","No","Yes","",""
"Photos","?","Yes","?","?","Yes","?","No","Yes","Yes","Yes","?","?","Yes","",""
"PhotoRaster","?","No","Import","Import","Yes","No","No","Yes","Import","No","No","No","Import","",""
"Picasa*","?","Yes","Import","Import","Yes","No","","Import","No","Import","No","No","No","",""
"PicMaster","?","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","Yes","",""
"PixBuilderPhotoEditor","?","?","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","No","No","?","",""
"Pixelmator","?","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","",""
"Pixia","?","?","Yes","No","Yes","No","","Yes","Yes","Yes","No","No","No","",""
"PMview","?","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","No","Yes","",""
"ProjectDogwaffle","?","?","Yes","No","Yes","No","","No","Yes","No","No","No","No","",""
"QFX","?","?","Yes","Yes","Yes","No","No","?","Yes","Yes","No","No","?","",""
"RawTherapee","?","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","",""
"Seashore","?","No","Partial","Partial","Yes","Partial","","Yes","Yes","No","?","Yes","?","",""
"SerifPhotoPlus","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","",""
"TurboPlay","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","",""
"TuxPaint","?","No","Yes","Import","Import","No","No","Yes","No","No","No","No","No","",""
"TVPaint","?","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","Yes","",""
"UleadPhotoImpact*","?","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Partial","Import","No","Yes","",""
"UltimatePaint*","?","?","Yes","Yes","Yes","No","","Yes","No","No","No","No","Yes","",""
"WinImages","?","?","Yes","Yes","Yes","No","","Yes","Yes","Yes","No","No","?","",""
"XaraPhoto&GraphicDesigner","?","Yes","Yes","Yes","Yes","Yes","Importonly","Yes","Yes","Yes","No","No","Yes","",""
"XnView","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Import","Yes","",""
"XPaint","?","No","Yes","Yes","Yes","No","","Yes","Yes","No","No","No","No","",""
"ZonerPhotoStudio","?","Yes","Yes","Yes","Yes","Importonly","Yes","Yes","Yes","Importonly","Importonly","No","Yes","",""
