"Store","Tracks(million)","Geographicrestrictions","Purchaseplatform","FLAC","ALAC","WAV","AIFF","AAC","MP3","WMA","Vorbis","DRM","Preview(seconds)","Streampurchases"
"7digital","81","Yes","Web,Android","24-bit","No","No","No","320kbps","320kbps","No","No","No","30","Yes"
"AmazonMusic","75","Yes","Web,Android","No","No","No","No","No","256kbps","No","No","No","30","Yes"
"Bandcamp","18.1","No","Web","24-bit","24-bit","24-bit","24-bit","Yes","Yes","No","Yes","No","Full","Yes"
"Beatport","9","Yes","Web","No","No","16-bit","16-bit","No","320kbps","No","No","No","120","Paidservice"
"Bleep","?","No","Web","16-bit","No","24-bit","No","No","320kbps","No","No","No","Full","Yes"
"ClassicalArchives","1.17","Yes","Web","No","No","No","No","No","320kbps","No","No","No","60","No"
"eMusic","17","Yes","Web","No","No","No","No","No","320kbps","No","No","No","60","Yes"
"HDtracks","?","YesUS","Web","24-bit","24-bit","24-bit","24-bit","No","No","No","No","No","30","?"
"iTunesStore","75","Yes","Windows,macOSiOS,tvOS","No","No","No","No","256kbps","No","No","No","No(previouslyFairPlay)","90","iTunesintheCloud"
"Jamendo","0.21","No","Web","No","No","No","No","No","Yes","No","Yes","No","Full","?"
"JunoDownload","?","Yes","Web","16-bit","16-bit","16-bit","16-bit","No","320kbps","No","No","No","60","No"
"Magnatune","0.01","No","Web","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","Full","?"
"mora","4.4","YesJapan","Web","24-bit","No","No","No","320kbps","No","No","No","No","30","?"
"NoiseTrade","?","No","Web","No","No","No","No","No","320kbps","No","No","No","Full","?"
"ProStudioMasters","?","Yes","Web","24-bit","No","No","24-bit","No","No","No","No","No","90","No"
"Qobuz","70","Yes","Web,Android,iOSKindle,Windows8","24-bit","24-bit","24-bit","24-bit","320kbps","320kbps","320kbps","No","No","30-60","Yes"
"Supraphonline","4.3","No","Web","16+24-bit","No","No","No","No","320kbps","No","No","No","30+30","?"
"Tidal","70","Yes","Web","16-bit","No","No","No","No","320kbps","No","No","No","30","No"
"Traxsource","?","?","Web","No","No","Yes","Yes","No","320kbps","No","No","No","120","?"
