"Filesystem","Creator","Yearofintroduction","Originaloperatingsystem"
"DECtape","DEC","1964","PDP-6Monitor"
"OS/3x0FS","IBM","1964","OS/360"
"Level-D","DEC","1968","TOPS-10"
"George3","ICT(laterICL)","1968","George3"
"Version6Unixfilesystem(V6FS)","BellLabs","1972","Version6Unix"
"RT-11filesystem","DEC","1973","RT-11"
"DiskOperatingSystem(GECDOS)","GEC","1973","CoreOperatingSystem"
"CP/Mfilesystem","DigitalResearch(GaryKildall)","1974","CP/M"
"ODS-1","DEC","1975","RSX-11"
"GECDOSfilingsystemextended","GEC","1977","OS4000"
"FAT(8-bit)","Microsoft(MarcMcDonald)forNCR","1977","MicrosoftStandaloneDiskBASIC-80(laterMicrosoftStandaloneDiskBASIC-86)"
"DOS3.x","Apple","1978","AppleDOS"
"UCSDp-System","UCSD","1978","UCSDp-System"
"CBMDOS","Commodore","1978","CommodoreBASIC"
"AtariDOS","Atari","1979","Atari8-bit"
"Version7Unixfilesystem(V7FS)","BellLabs","1979","Version7Unix"
"ODS-2","DEC","1979","OpenVMS"
"FAT12","SeattleComputerProducts(TimPaterson)","1980","QDOS/86-DOS(laterIBMPCDOS1.0)"
"ProDOS","Apple","1980","AppleSOS(laterProDOS8)"
"DFS","AcornComputersLtd","1982","AcornBBCMicroMOS"
"ADFS","AcornComputersLtd","1983","AcornElectron(laterArthur/RISCOS)"
"FFS","KirkMcKusick","1983","4.2BSD"
"FAT16","IBM,Microsoft","1984","PCDOS3.0,MS-DOS3.0"
"MFS","Apple","1984","System1"
"ElektronikaBKtapeformat","NPO""Scientificcentre""(nowSitronics)","1985","VilniusBasic,BKmonitorprogram"
"HFS","Apple","1985","System2.1"
"AmigaOFS","MetacomcoforCommodore","1985","AmigaOS"
"GEMDOS","DigitalResearch","1985","AtariTOS"
"NWFS","Novell","1985","NetWare286"
"HighSierra","EcmaInternational","1986","MSCDEXforMS-DOS3.1/3.2"
"FAT16B","Compaq","1987","CompaqMS-DOS3.31"
"MinixV1FS","AndrewS.Tanenbaum","1987","MINIX1.0"
"AmigaFFS","Commodore","1988","AmigaOS1.3"
"ISO9660:1988","EcmaInternational,ISO","1988","MS-DOS,""classic""MacOS,andAmigaOS"
"HPFS","IBM&Microsoft","1989","OS/21.2"
"RockRidge","IEEE","1990c.?1990","Unix"
"JFS1","IBM","1990","AIX"
"VxFS","VERITAS","1991","SVR4.0"
"ext","RémyCard","1992","Linux"
"AdvFS","DEC","1993","DigitalUnix"
"NTFS","Microsoft(GaryKimura,TomMiller)","1993","WindowsNT3.1"
"LFS","MargoSeltzer","1993","BerkeleySprite"
"ext2","RémyCard","1993","Linux,Hurd"
"Xiafs","Q.FrankXia","1993","Linux"
"UFS1","KirkMcKusick","1994","4.4BSD"
"XFS","SGI","1994","IRIX"
"HFS","IBM","1994","MVS/ESA(nowz/OS)"
"FAT16X","Microsoft","1995","MS-DOS7.0/Windows95"
"Joliet(""CDFS"")","Microsoft","1995","MicrosoftWindows,Linux,""classic""MacOS,andFreeBSD"
"UDF","ISO/ECMA/OSTA","1995","N/A"
"FAT32,FAT32X","Microsoft","1996","MS-DOS7.10/Windows95OSR2"
"QFS","SunMicrosystems","1996","Solaris"
"GPFS","IBM","1996","AIX,Linux"
"BeFileSystem","BeInc.(D.Giampaolo,CyrilMeurillon)","1996","BeOS"
"MinixV2FS","AndrewS.Tanenbaum","1997","MINIX2.0"
