"IDE","License","Windows","Linux","macOS","Developer","Otherplatforms","Lateststablerelease"
"Basic4android","Proprietary","Yes","No","No","AnywhereSoftware","cross-compilefromWindowstoAndroid","2018-03-20"
"FreeBASIC","GPL","Yes","Yes","No","TheFreeBASICDevelopmentTeam","Windows,FreeBSD","2019-02-18"
"Gambas","GPL","No","Yes","No","BenoîtMinisini","FreeBSD,Cygwin","2019-11-19"
"MicrosoftSmallBasic","MITLicense","Yes","No","No","Microsoft","","2015-10-01"
"MicrosoftVisualStudio","Proprietary","Yes","Yes","Yes","Microsoft","","2017-10-19"
"MonoDevelop","LGPL","Yes","Yes","Yes","XamarinandtheMonocommunity","FreeBSD,OpenBSD,Solaris","2016-01-28"
"PBASICStampEditor","Proprietary","Yes","No","Yes","ParallaxInc","","2014-07-02"
"PureBasic","Proprietary","Yes","Yes","Yes","FantaisieSoftware","AmigaOS","2020-03-30"
"SharpDevelop","MIT","Yes","No","No","ICSharpCodeTeam","","2015-07-14"
"SlickEdit","Proprietary","Yes","Yes","Yes","SlickEdit","Solaris,SolarisSPARC,AIX,HP-UX","2018"
"Xojo","Proprietary","Yes","Yes","Yes","Xojo,Inc.","Web","2015-12-17"
