"IPA","p","b","p?","m","t","t?","n","n?","l","k","?","k?","h","t?i","?i","t??i","?i","ts","dz","ts?","s"
"Pe?h-?e-j?","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","chi","ji","chhi","si","ch","j","chh","s"
"RevisedTLPA","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","zi","ji","ci","si","z","j","c","s"
"TLPA","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","zi","ji","ci","si","z","j","c","s"
"BP","b","bb","p","bb","d","t","n","lng","l","g","gg","k","h","zi","li","ci","si","z","l","c","s"
"MLT","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","ci","ji","chi","si","z","j","zh","s"
"DT","b","bh","p","m","d","t","n","nng","l","g","gh","k","h","zi","r","ci","si","z","r","c","s"
"Taiwanesekana","??","??","???","??","??","???","??","??","??","??","??","???","??","??","??","???","??","??","??","???","??"
"Extendedbopomofo","?","?","?","?","?","?","?","??","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Tâi-lô","p","b","ph","m","t","th","n","nng","l","k","g","kh","h","tsi","ji","tshi","si","ts","j","tsh","s"
"Example(traditionalChinese)","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??"
"Example(simplifiedChinese)","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??","??"
