"OLAPserver","XMLforAnalysis","OLEDBforOLAP","MDX","Storedprocedures","Customfunctions","SQL","LINQ","Visualization","JSON","RESTAPI"
"ApacheDruid","No","No","No","No","Yes","DruidSQL","No","Superset,Pivot,Redash","Yes","Yes"
"ApacheKylin","No","No","No","No","Yes","Yes","","Superset,Zeppelin,Tableau,Qlik,Redash,MicrosoftExcel","Yes","Yes"
"ApachePinot","No","No","No","No","Yes","Yes","No","Superset,Pivot,Redash","Yes","Yes"
"ClickHouse","No","No","No","No","Yes","Yes","No","Superset,Zeppelin,Tableau,Qlik,Redash,DataLens","Yes","Yes"
"Essbase","Yes","Yes","Yes","Yes","Yes","No","Yes","SmartView(Excel-AddIn),OracleAnalyticsCloud,NarrativeReporting,Tableau,IBMCognos","?","Yes"
"IBMCognosTM1","Yes","Yes","Yes","Yes","Yes","No","Yes","TM1Web/TM1Contributor,IBMCognosInsight,IBMPerformanceModeler,IBMCognosCafeforExcel,CognosBI,TM1PerspectivesforExcel","Yes","Yes"
"icCube","Yes","Yes","Yes","Java,R","Yes","Inthereporting","Yes","icCubereportingandallXMLAcompliantvisualizationtoolslikeExcel,etc","Yes","Yes"
"JedoxOLAPServer","Yes","Yes","Yes","CubeRules,SVSTriggers","Yes","No","Yes","MicrosoftExcel,Qlik,Tableau,JedoxWeb,PowerBI","No","Yes"
"Kyvos","Yes","Yes","Yes","No","Yes","Yes","No","KyvosInsights,MicrosoftExcel,Qlik,Tableau,PowerBI,MicroStrategy,IBMCognos,BusinessObjects,XLCubed,Looker,Altryx,andmore","Yes","Yes"
"MicrosoftAnalysisServices","Yes","Yes","Yes",".NET","Yes","Yes","Yes","MicrosoftExcel,SharePoint,MicrosoftPowerBI,and70+othervisualizationtools","No","No"
"MicroStrategyIntelligenceServer","Yes","No","Yes","Yes","Yes","Yes","Yes","Dossier,Dashboard,Reports","Yes","Yes"
"MondrianOLAPserver","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","?"
"OracleDatabaseOLAPOption","No","Yes","Yes","Java,PL/SQL,OLAPDML","Yes","Yes","No","?","?","?"
"SAPNetWeaverBW","Yes","Yes","Yes","No","Yes","No","Yes","?","?","?"
"SASOLAPServer","Yes","Yes","Yes","No","No","No","Yes","WebReportStudio","?","?"
