"OLAPserver","#cubes","#measures","#dimensions","#dimensionsincube","#hierarchiesindimension","#levelsinhierarchy","#dimensionmembers"
"ApacheDruid","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted"
"ApacheKylin","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted"
"ApachePinot","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted"
"ClickHouse","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted"
"Essbase","Unrestricted","Unrestricted","Unrestricted","255","255","?","20,000,000(ASO),1,000,000(BSO)"
"IBMCognosTM1","Unrestricted","Unrestricted","Unrestricted","256","Unrestricted","Unrestricted","Unrestricted"
"icCube","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647"
"JedoxOLAPServer","232{\displaystyle2^{32}}(32bits)","232{\displaystyle2^{32}}","232{\displaystyle2^{32}}(32bits)","250","232{\displaystyle2^{32}}","232{\displaystyle2^{32}}","232{\displaystyle2^{32}}"
"Kyvos","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted","Unrestricted"
"MicrosoftAnalysisServices","2,147,483,647","2,147,483,647","2,147,483,647","2,147,483,647(max.numberofdimensionsinadatabase)","2,147,483,647","2,147,483,647","2,147,483,647(xOLAP)Unrestricted(In-memory)"
"MicroStrategyIntelligenceServer","Unrestricted","Unrestricted","Unrestricted","?","Unrestricted","Unrestricted","Unrestricted"
"SASOLAPServer","Unrestricted","1024","128","?","128","19","4,294,967,296"
