"Software","Isochronictones","Monauralbeats","Binauralbeats","Photic"
"BeeOneSMOD/HMS","Yes","Yes","Yes","No"
"BinauralBeethoven","No","No","Yes","No"
"BrainEqualizer","No","No","Yes","?"
"BrainWaveGenerator","No","No","Yes","Yes"
"BrainWaveProducer","Yes","Yes","Yes","?"
"Gnaural","Yes","Yes","Yes","?"
"BrainIgniterPlayer","Yes","Yes","Yes","No"
"NeuroEntrainment","Yes","Yes","Yes","No"
"Neuro-Programmer3","Yes","Yes","Yes","Yes"
"MindWorkStation","Yes","Yes","Yes","Yes"
"SBaGen","No","Yes","Yes","No"
"BrainwaveStudio","Yes","No","No","No"
"Discord","Yes","Yes","Yes","?"
"IsochronicToneGenerator","Yes","No","No","No"
"LuxVSTBrainwaveEntrainmentInstrument","Yes","Yes","Yes","Yes"
"NeuroSequencerPro","Yes","No","Yes","No"
"SHARMStudio5","Yes(wide,narrow)","Yes","Yes","No"
