"Format","Languages"
"reversestring","Perl5,Haskell"
"flipstringstring.flip","Raku"
"lists:reverse(string)","Erlang"
"strrev(string)","PHP"
"string[::-1]","Python"
"(string-reversestring)","Scheme(SRFI13)"
"(reversestring)","CommonLisp"
"string.reverse","Ruby,D(modifiesstring)"
"newStringBuilder(string).reverse().toString()","Java"
"std::reverse(string.begin(),string.end());","C++(std::stringonly,modifiesstring)"
"StrReverse(string)","VB"
"string.Reverse().ToString()","VB.NET,C#"
"implode(rev(explodestring))","StandardML"
"string.split("""").reverse().join("""")","JavaScript"
"string.reverse(string)(string):reverse()","Lua"
"stringreverse","Smalltalk"
"StringReverse[string]","Mathematica"
"reverse(string)","PL/I"
"«FUNCTION»REVERSE(string)","COBOL"
"string.toCharArray.toList.reversed.join()","Cobra"
"String(string.characters.reverse())","Swift(2.x)"
"String(reverse(string))","Swift(1.2)"
"stringreversestring","Tcl"
"?string","APL"
"string.chars().rev().collect::<String>()","Rust"
