"Pumptype","Cyclic/continuous?","Maximumliftheight","Productioncost","Efficiency","Output","Sizeofdevice","Fabricationrequirements","Difficultyofproduction","Durability","Difficultyofrepair","Suctionlift?"
"Continuousbucketpump","continuous","5m-50m","low-medium","medium","low-medium","?","?","traditional","?","?","no"
"CounterpoiseliftorShadoof","cyclic","1m-4m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Mohte","cyclic","3m-8m","low-medium","low","medium","?","?","traditional","?","?","no"
"Persianwheel""Tablia""","continuous","3m-10m","low-medium","medium","medium","?","?","traditional","?","?","no"
"Persianwheel""Zawaffa""","continuous","3m-15m","medium","medium-high","medium-high","?","?","traditional","?","?","no"
"Pivotingguttersand""dhones""","cyclic","1m-1,5m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Reciprocatingbuckethoist","cyclic","100m-500m","medium-high","medium","medium-high","?","?","industrial","?","?","no"
"Rope&bucketandwindlass","cyclic","5m-50m","verylow","verylow","verylow","?","?","basic","?","?","no"
"Scoopsandbailers","cyclic",">1m","verylow","verylow","low-medium","?","?","basic","?","?","no"
"Scoopwheel""Sakia""","continuous",">2m","medium-high","medium-high","medium-high","?","?","traditional","?","?","no"
"Swingbasket","cyclic",">1m","verylow","verylow","low-medium","?","?","basic","?","?","no"
"Waterwheelsornoria","continuous",">5m","low-medium","low-medium","low-medium","?","?","traditional","?","?","no"
"Wateringcar","cyclic",">3m","verylow","verylow","verylow","?","?","basic","?","?","no"
