"Name","MP3","FairPlay","ALAC","AAC","WMA-DRM","WMALossless","WMA","WAV","Audible","OggVorbis","FLAC","Others"
"Archos105","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","No"
"Archos405","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"Archos5","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","AC3"
"Archos605WiFi/GPS","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"Archos705WiFi","Yes","No","No","No","Yes","No","Yes","Yes","No","No","No","AC3"
"CowonA3","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","APE,MPC,PCM,TTA,WV"
"CowonD2","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","APE"
"CowonQ5W","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","APE,MPC"
"GigabeatT-Series","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","No","No"
"GP2XF-200","Yes","No","No","No","No","No","No","No","No","Yes","No","APE,MP2,MPC,TTA,WV"
"iPod","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","AIFF"
"iriverclix2G","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"PSPSlim&Lite","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","ATRAC"
"SamsungGalaxyPlayer","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No"
"SamsungT10","Yes","No","No","No","Yes","No","Yes","No","No","Yes","No","No"
"SamsungP2","Yes","No","No","Yes","Yes","No","Yes","No","No","Yes","No","No"
"SansaFuze","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown"
"SansaFuze+","Yes","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown"
"WalkmanNWZ-A810series","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","No"
"ZEN","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No"
"ZENVisionW","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","No","No"
"Zune","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","No","WMAProStereo"
"ZVUE260","Yes","No","No","No","Yes","No","Yes","Yes","No","Yes","No","MP2"
"","MP3","AAC-DRM","ALAC","AAC","WMA-DRM","WMALossless","WMA","WAV","Audible","OggVorbis","FLAC","Others"
