"Name","Wholedisk","Partition","File","Swapspace","Hibernationfile","RAID"
"AloahaSecureStick","No","No","Yes","No","No","?"
"ArchiCryptLive","Yes(exceptforthebootvolume)","Yes","Yes","No","No","?"
"BestCrypt","Yes","Yes","Yes","Yes","Yes","?"
"BitArmorDataControl","No","Yes","No","Yes","Yes","?"
"BitLocker","Yes(exceptforthebootvolume)","Yes","Yes","Yes(parentvolumeisencrypted)","Yes(parentvolumeisencrypted)","?"
"BloombaseStoreSafe","Yes","Yes","Yes","Yes","No","Yes"
"CenterToolsDriveLock","Yes","Yes","Yes","Yes","Yes","?"
"CGD","Yes","Yes","Yes","Yes","No","?"
"CheckPointFullDiskEncryption","Yes","Yes","Yes","Yes","Yes","?"
"CipherShed","Yes","Yes","Yes","Yes","onlyonWindows","?"
"CrossCrypt","No","No","Yes","No","No","?"
"CryFS","No","No","No","No","No","?"
"CryptArchiver","No","No","Yes","No","No","?"
"CrypticDisk","No","Yes","Yes","No","No","?"
"Cryhod","No","Yes","No","Yes","Yes(parentvolumeisencrypted)","?"
"Cryptoloop","Yes","Yes","Yes","Yes","No","?"
"Cryptomill","Yes","N/A","Yes","N/A","N/A","?"
"CryptoProSecureDiskEnterprise","Yes","Yes","Yes(add-onSecureDevice)","Yes","Yes","?"
"CryptoProSecureDiskforBitLocker","Yes","Yes","Yes","Yes","Yes","?"
"DiskCryptor","No","Yes","No","Yes","Yes","?"
"DiskProtect","Yes","No","No","Yes","Yes","?"
"Dm-crypt/LUKS","Yes","Yes","Yes","Yes","Yes","?"
"DriveCrypt","Yes","Yes","Yes","Yes","Yes","?"
"DriveSentryGoAnywhere2","No","Yes","Yes","No","No","?"
"E4M","No","Yes","Yes","No","No","?"
"e-CapsulePrivateSafe","No","No","Yes","No","No","?"
"eCryptfs","No","No","Yes","No","No","?"
"EgoSecureHDDEncryption","Yes","Yes","Yes","Yes","Yes","?"
"EncryptUSB","No","No","Yes","No","No","?"
"FileVault","No","No","Yes","Yes","Yes"
"FileVault2","Yes","Yes","No","Yes","Yes","?"
"FREECompuSec","Yes","No","Yes","Yes","Yes","?"
"FreeOTFE","Yes(exceptforthebootvolume)","Yes","Yes","No","No","?"
"GBDE","Yes","Yes","Yes","Yes","No","?"
"GELI","Yes","Yes","Yes","Yes","No","?"
"Loop-AES","Yes","Yes","Yes","Yes","Yes","?"
"McAfeeDriveEncryption(SafeBoot)","Yes","Yes","Yes","Yes","Yes","?"
"n-CryptPro","Yes","Yes","Yes","No","No","?"
"PGPDisk","Yes","Yes","Yes","Yes","onlyonWindows","?"
"PrivateDisk","No","No","Yes","No","No","?"
"ProxyCrypt","Yes","Yes","Yes","No","No","?"
"R-Crypto","No","No","Yes","No","No","?"
"SafeGuardEasy","Yes","Yes","extramodule","Yes","Eachsectorondiskisencrypted","?"
"SafeGuardEnterprise","Yes","Yes","Yes","Yes","Eachsectorondiskisencrypted","?"
"SafeGuardPrivateDisk","No","No","Yes","No","No","?"
"SafeHouseProfessional","No","No","Yes","No","No","?"
"Scramdisk","No","Yes","Yes","No","No","?"
"Scramdisk4Linux","Yes","Yes","Yes","Yes","No","?"
"SecuBox","No","No","Yes","N/A","No","?"
"SecureDoc","Yes","Yes","Yes","Yes","Yes","?"
"Sentry2020","No","No","Yes","No","No","?"
"SeqriteEncryptionManager","Yes","Yes","Yes","Yes","Yes","RAID-5"
"Softraid/RAIDC","Yes","Yes","No","Yes(encryptedbydefaultinOpenBSD)","No","?"
"Svnd/Vnconfig","?","Yes","Yes","Yes(encryptedbydefaultinOpenBSD)","?","?"
"SpyProof!","No","Yes","Yes","No","No","?"
"SymantecEndpointEncryption","Yes","Yes","Yes","Yes","Yes","?"
"TrendMicroEndpointEncryption","Yes","Yes","Yes","Yes","Yes","?"
"TrueCrypt","Yes","Yes","Yes","Yes","onlyonWindows","?"
"VeraCrypt","Yes","Yes","Yes","Yes","onlyonWindows","?"
"CyberSafeTopSecret","No","Yes","Yes","No","No","?"
"Name","Wholedisk","Partition","File","Swapspace","Hibernationfile","RAID"
