"Client","MicrosoftWindows","macOS","Linux","BSDs","Solaris","Other"
"CainandAbel","Yes","No","No","No","No","No"
"CapsaFreeEdition","Yes","No","No","No","No","No"
"Carnivore","Yes","No","No","No","No","No"
"CharlesWebDebuggingProxy","Yes","Yes","Yes","?","?","?"
"CommView","Yes","No","No","No","No","No"
"dSniff","?","Yes","Yes","Yes","Yes","?"
"EtherApe","No","Yes","Yes","Yes","Yes","?"
"Ettercap","Yes","Yes","Yes","Yes","Yes","?"
"justniffer","No","Yes","Yes","Yes","Yes","?"
"Kismet","Yes","Yes","Yes","Yes","?","?"
"Lanmeter","No","No","No","No","No","Flukeproprietaryhardware"
"netsniff-ng","No","No","Yes","No","No","No"
"ngrep","Yes","Yes","Yes","Yes","Yes","AIX,BeOS,HP-UX,IRIX,Tru64UNIX"
"MicrosoftNetworkMonitor","Yes","No","No","No","No","No"
"OmniPeek(formerlyAiroPeek,EtherPeek)","Yes","No","No","No","No","No"
"snoop","No","No","No","No","Yes","No"
"tcpdump","Yes(WinDump)","Yes","Yes","Yes","Yes","AIX,HP-UX,IRIX,Tru64UNIX"
"Wireshark(formerlyEthereal)","Yes","Yes","Yes","Yes","Yes","AIX,HP-UX,IRIX,Tru64UNIX"
"Xplico","No","No","Yes","No","No","No"
