"Package","License","Windows","MacOS","Linux","Marketfocus","GL","AR/AP","DEB","$£€¥","OB","POS","EC","SOCT","PR","ERP","CRM","BI","HRM","Manf./BOM","SCM","IM—","RM","D/WM","MU","MultiCo","Tax","OtherFeatures","Structure","Language"
"Adempiere","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS,ProjectManagement,CRM.","Web-basedandClient-server.","JavaonJBoss,GlassFish,PostgreSQL,Oracle."
"ApacheOFBiz","ApacheLicense","Yes","Yes","Yes","Smalltomid-sizedenterprises","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","SaaS,Calendar,Webmail","Multi-User,WebAccess,CloudHostable","Java"
"Compiere","GPL2,otherproprietary","Yes","Yes","Yes","Mid-market","","","","","","Yes","","","","Yes","Yes","","","Yes","","","","Yes","","","","MES","Web-based","JavaEE"
"Dolibarr","GPL","Yes","Yes","Yes","Smalltomid-sizedenterprises","Yes","Yes","Yes","Yes","","Yes","","Yes","","Yes","Yes","","Yes","","","","","Yes","Yes","Yes","","SaaS","Web-based","PHP"
"ERPNext","GPL3","Yes","Yes","Yes","Allenterprises","Yes","Yes","Yes","Yes","?","Yes","Yes","?","?","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","SaaS,On-Premise","Web-based","Python"
"GnuCash","GPL","Yes","Yes","Yes","Personalandsmallenterprise","Yes","Yes","Yes","Yes","Yes","","","Yes","","","","","","","","","","","No","","ltd","","Stand-alone","C,Scheme"
"GNUEnterprise","GPL","Yes","Yes","Yes","Midtohighendmarket","","","","Yes","","","Yes","","","Yes","Yes","","Yes","","Yes","","","","","","","","Web-based+stand-alone","Python"
"iDempiere","GPL2","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS,Calendar,ProjectManagement","Web-basedandClient-server","JavaonJetty,OSGi,PostgreSQL,Oracle"
"JFire","GPL","Yes","No","Yes","Allenterprises","","","Yes","","","Yes","","","","Yes","Yes","","","","","","","Yes","","","","","Web-based,Stand-alone","Java"
"LedgerSMB","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","Yes","Yes","","","","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","SaaS,LightManufacturing,Multi-language(40),","Web-based","Perl"
"Ledger(CLI)","BSD","Yes","Yes","Yes","Personalandsmallenterprise","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","Canbeusedwithgit","Plaintextfile-based","C++"
"metasfresh","GPL2","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","SaaS,On-Premise","Web-based,Client-server","JavaonTomcat,PostgreSQL"
"Odoo(CE)","LGPL3","Yes","Yes","Yes","Allenterprises","Yes","Yes","Yes","Yes","","Yes","Yes","","","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","SaaS,On-Premise","Web-based","Python"
"SQL-Ledger","GPL","Yes","Yes","Yes","Mid-market","Yes","Yes","Yes","Yes","","Yes","","","","Yes","","","","Yes","","Yes","","","Yes","Yes","","","Web-based","Perl"
"Tryton","GPL","Yes","Yes","Yes","Lowtomid-market","Yes","Yes","Yes","Yes","Yes","","Yes","","","Yes","Yes","","","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","","Thinclient&Web-basedclient-Server","Python"
