"Name","Networkingsupport","NE2000/RTL8029","RTL8139","GigabitEthernet","10GigabitEthernet","WirelessLAN","Bluetooth","IrDA"
"Linux","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"FreeBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"OpenBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"NetBSD","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DragonFlyBSD","Yes","","Yes","Yes","Yes","Yes","Yes",""
"OpenSolaris,illumos","Yes","","Yes","Yes","Yes","Yes","No","No"
"Darwin,OpenDarwin","Yes","","","","","","",""
"MINIX","Yes","","Yes","","","","",""
"FreeDOS","Yes","Yes","Yes","","","","",""
"Genode","Yes","No","No","Yes","No","Yes","No","No"
"Haiku","Yes","Yes","Yes","Yes","","Yes","",""
"KolibriOS","Yes","Yes","Yes","","","","No","Yes"
"MenuetOS","Yes","Yes","","","","","No","No"
"GNU","Yes","","","","","","",""
"ReactOS","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"L4,Fiasco,Pistachio","","","","","","","",""
"Plan9","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"AROS","Yes","Yes","","","","","",""
"Syllable","Yes","Yes","Yes","Yes","","","",""
"Inferno","Yes","Yes","Yes","Yes","","Yes","No","No"
"FreeRTOS","","","","","","",""
"eCos","Yes","","","Yes","","","Yes",""
"RTEMS","Yes","Yes","Yes","Yes","No","No","No","No"
"HelenOS","Yes","Yes","Yes","Yes","No","No","No","No"
"E/OS","Yes","Yes","Yes","Yes","Yes","No","No","No"
"Name","Networkingsupport","NE2000/RTL8029","RTL8139","GigabitEthernet","10GigabitEthernet","WirelessLAN","Bluetooth","IrDA"
