"Implementation","/dev/crypto","af_alg","WindowsCSP","CommonCrypto","OpenSSLengine"
"Botan","No","No","No","No","Partial"
"BSAFE","No","No","No","No","No"
"cryptlib","No","No","No","No","No"
"GnuTLS","Yes","No","No","No","No"
"JSSE","No","No","Yes","No","No"
"LibreSSL","No","No","No","No","No"
"MatrixSSL","No","No","No","Yes","Yes"
"MbedTLS","No","No","No","No","No"
"NSS","No","No","No","No","No"
"OpenSSL","Yes","Yes","No","No","Yes"
"SChannel","No","No","Yes","No","No"
"SecureTransport","No","No","No","Yes","No"
"wolfSSL","Yes","Yes","Partial","No","Yes"
"Erlang/OTPSSLapplication","No","No","No","No","Yes"
"Implementation","/dev/crypto","af_alg","WindowsCSP","CommonCrypto","OpenSSLengine"
