"Objectorientation","Java","C#"
"Classes","mandatory","mandatory"
"Interfaces","Yes","Yes"
"Abstractclasses","Yes","Yes"
"Memberaccessibilitylevels","public,package,protected,private","public,internal,protected,private,protectedinternal"
"Class-levelinnerclasses","Yes","Yes"
"Instance-levelinnerclasses","Yes","No"
"Statement-level(local)anonymousclasses","Yes","Yes;butwithoutmethods"
"Partialclasses","No;Third-partylibrary","Yes"
"Implicit(inferred)anonymousclasses","No;Notneeded","Yes"
"Deprecation/obsolescence","Yes","Yes"
"Overloadversioning","Some","Yes"
"Enumscanimplementinterfaces","Yes","No"
"Properties","No;Unnecessary,seeJavaBeansspec","Yes"
"Events","Providedbystandardlibraries","Built-inlanguagefeature"
"Operatoroverloading","No","Yes"
"Indexers","No","Yes"
"Implicitconversions","No;butseeautoboxing","Yes"
"Explicitconversions","Yes","Yes"
