"CanTarget:","Changingdefaultpolicytoaccept/reject(byissuingasinglerule)","IPdestinationaddress(es)","IPsourceaddress(es)","TCP/UDPdestinationport(s)","TCP/UDPsourceport(s)","EthernetMACdestinationaddress","EthernetMACsourceaddress","Inboundfirewall(ingress)","Outboundfirewall(egress)"
"TrendMicroInternetSecurity","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Vyatta","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"WindowsXPFirewall","No","No","Yes","Partial","No","No","No","Yes","No"
"WindowsVistaFirewall","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"Windows7/Windows2008R2Firewall","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"WinGate","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes"
"Zeroshell","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Zorp","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No"
"pfSense","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes"
"IPFire","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
