"Program","AuthororBasedOn","Version","System","HTMLCompliant","Display","Forms","Tables","IntegratedBrowser","Cost"
"asWedit","AndrzejStochniol","1.1","Unix","HTML3","source","Yes","Yes","No","freeware"
"HoTMetaL","SoftQuad","1.0+","Unix,Windows","HTML1","WYSIWYG","Partial","No","No","freeware"
"HoTMetaLpro","SoftQuad","1","Unix,Windows,Macintosh","HTML2","WYSIWYG","Yes","Yes","No","commercial"
"LiveMarkup","MediaTech","16b4a","Windows","HTML2","WYSIWYG","No","No","No","commercial"
"Symposia","GRIF","0.8","Unix","HTML2","WYSIWYG","Yes","Yes","Yes","beta"
"Tkhtml","LiemBahenmann","2.3","Unix","No","source","Yes","No","No","freeware"
"Phoenix","UniversityofChicago","0.1.7","Unix","No","WYSIWYG","No","No","Yes","freeware"
"WebPages","DARTSoftware","1.7","NextStep","HTML1","WYSIWYG","No","No","No","commercial"
"WebMagic","SiliconGraphics","1","Irix","HTML2","WYSIWYG","No","No","No","commercial"
"Webtor","JochenSchales",".91prealpha2","Macintosh","HTML2","WYSIWYG","No","No","No","freeware"
