"Filesystem","Hardlinks","Symboliclinks","Blockjournaling","Metadata-onlyjournaling","Case-sensitive","Case-preserving","FileChangeLog","XIP"
"DECtape","No","No","No","No","No","No","No","No"
"BeeGFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Level-D","No","No","No","No","No","No","No","No"
"RT-11","No","No","No","No","No","No","No","No"
"APFS","Yes","Yes","?","?","Partial","Yes","?","?"
"Version6Unixfilesystem(V6FS)","Yes","No","No","No","Yes","Yes","No","No"
"Version7Unixfilesystem(V7FS)","Yes","No","No","No","Yes","Yes","No","No"
"exFAT","No","No","No","Partial(withTexFATonly)","No","Yes","No","No"
"FAT12","No","No","No","Partial(withTFAT12only)","No","Partial(withVFATLFNsonly)","No","No"
"FAT16/FAT16B/FAT16X","No","No","No","Partial(withTFAT16only)","No","Partial(withVFATLFNsonly)","No","No"
"FAT32/FAT32X","No","No","No?","Partial(withTFAT32only)","No","Partial(withVFATLFNsonly)","No","No"
"GFS","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"HPFS","No","No","No","No","No","Yes","No","No"
"NTFS","Yes","Yes","No","Yes(2000)","Yes","Yes","Yes","?"
"HFSPlus","Yes","Yes","No","Yes","Partial","Yes","Yes","No"
"FFS","Yes","Yes","No","No","Yes","Yes","No","No"
"UFS1","Yes","Yes","No","No","Yes","Yes","No","No"
"UFS2","Yes","Yes","No","Yes","Yes","Yes","No","?"
"HAMMER","Yes","Yes","Yes","Yes","Yes","Yes","?","No"
"LFS","Yes","Yes","Yes","No","Yes","Yes","No","No"
"ext","Yes","Yes","No","No","Yes","Yes","No","No"
"Xiafs","Yes","Yes","No","No","Yes","Yes","No","No"
"ext2","Yes","Yes","No","No","Yes","Yes","No","Yes"
"ext3","Yes","Yes","Yes(2001)","Yes(2001)","Yes","Yes","No","Yes"
"ext4","Yes","Yes","Yes","Yes","Yes,optional","Yes","No","Yes"
"NOVA","Yes","Yes","No","Yes","Yes","Yes","No","Yes"
"F2FS","Yes","Yes","Yes","No","Yes","Yes","No","No"
"Lustre","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"NILFS","Yes","Yes","Yes","No","Yes","Yes","No","No"
"ReiserFS","Yes","Yes","Yes","Yes","Yes","Yes","No","?"
"Reiser4","Yes","Yes","Yes","No","Yes","Yes","No","?"
"OCFS","No","Yes","No","No","Yes","Yes","No","No"
"OCFS2","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"XFS","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?"
"JFS","Yes","Yes","Yes","Yes(1990)","Yes","Yes","No","?"
"QFS","Yes","Yes","No","Yes","Yes","Yes","No","No"
"BFS","Yes","Yes","No","Yes","Yes","Yes","?","No"
"NSS","Yes","Yes","?","Yes","Yes","Yes","Yes","No"
"NWFS","Yes","Yes","No","No","Yes","Yes","Yes","No"
"ODS-2","Yes","Yes","No","Yes","No","No","Yes","No"
"ODS-5","Yes","Yes","No","Yes","No","Yes","Yes","?"
"UDF","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes"
"VxFS","Yes","Yes","Yes","No","Yes","Yes","Yes","?"
"Fossil","No","No","No","No","Yes","Yes","Yes","No"
"ZFS","Yes","Yes","Yes","No","Yes","Yes","No","No"
"Btrfs","Yes","Yes","Yes","No","Yes","Yes","?","?"
"MinixV1","Yes","Yes","No","No","Yes","Yes","No","No"
"MinixV2","Yes","Yes","No","No","Yes","Yes","No","No"
"MinixV3","Yes","Yes","No","No","Yes","Yes","No","No"
"VMFS2","Yes","Yes","No","Yes","Yes","Yes","No","No"
"VMFS3","Yes","Yes","No","Yes","Yes","Yes","No","No"
"ReFS","No","Yes","?","?","Yes","Yes","?","?"
"ISO9660","No","No","No","No","No","No","No","No"
"RockRidge","Yes","Yes","No","No","Yes","Yes","No","No"
"Joliet(""CDFS"")","No","No","No","No","No","Yes","No","No"
"SquashFS","Yes","Yes","No","No","Yes","Yes","No","No"
"BlueStore/Cephfs","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Filesystem","Hardlinks","Symboliclinks","Blockjournaling","Metadata-onlyjournaling","Case-sensitive","Case-preserving","FileChangeLog","XIP"
