"Format","Compressionalgorithm","Raster/vector","Colordepth","Indexedcolor","Transparency","Metadata","Interlacing","Multi-page","Animation","Layers","Colormanagement","Extendable","HDRformat"
"AI","Lossyandlossless","Both","1,8,24,and32(possiblywithmultiplepalettes)","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","No"
"BMP","None,RLE,JPEG,andPNG","Raster","1,4,8,16,24,32,and64","Yes","Yes","No","No","No","No","No","Yes","No","No"
"BPG","HEVC,Lossyandlossless","Raster","8to14bitsperchannel","No","Yes","Yes","No","No","Yes","Unknown","Yes","Unknown","Unknown"
"CDR","Lossyandlossless","Both","1,8,24,and32(multiplepalettes)","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Unknown","No"
"CPC","CPC","Raster","1","No","No","Yes","No","Yes","No","No","No","Yes,viaembeddeddictionary","No"
"EPS","None,LZW,Deflate,RLE,DCT","Both","Devicespecific","No","Yes","Yes","N/A","Yes","No","Yes","Yes","Yes","Yes"
"EXR","None,RLE,ZIP,Piz,PXR24,andB44,B44A,DWAA,DWAB","Raster","16–128(floating-point)","No","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Farbfeld","None","Raster","64(16-bits-per-channel)","No","Yes","No","No","No","No","No","No","No","No"
"FLIF","Lossless,MANIACentropycoding","Raster","1to16bitsperchannel","Yes","Yes","Yes","Yes,Adam?","No","Yes","No","Yes","Yes,viachunks","Yes,withsuitablecolorprofile"
"GIF","LZW","Raster","Indexed(1bpcto8bpc)andgrayscale(8bpc)","Yes","Yes;1bppplane-onlymaskusingcolorindex","Yes","Yes","Yes","Yes","Yes","No","Yes(GIF89a)","No"
"HDPhoto/JPEGXR","Lossyandlosslessbi-orthogonaltransform","Raster","1,2,8,16,24,32,48,64,and128(floating-point)","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes"
"ILBM","Optionalrun-lengthencoding","Raster","1,2,4,8,16,32,64,64EHB,128,256(8-bit),4,096(HAM6pseudo12-bit),4,096pure12-bit,262,144(HAM8pseudo18-bit),and24-bit","Yes","No","Yes","Yes","No","Yes,Palette-shifting","No","No","Yes","No"
"IMA","Lossyandlosslessoriginalmutiresolutionanalysistransformation","Raster","8-bit,16-bitinteger,32-bitfloating-point","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes"
"JPEG","Lossy(andpartlylossless),DCT,RLE,andHuffmanpredictivenearestneighbor","Raster","8-bit(greyscale),12-bit,and24-bit","No","No","Yes","Yes","No","No","No","Yes","No","No(seeunofficialJPEG-HDR)"
"JPEG2000","Lossyandlossless(DWT)","Raster","8and16(greyscale)withpossiblycolorupto48-bit","No","Yes","Yes","Yes","No","No","No","Yes","Unknown","No"
"JPEGXL","Lossyandlossless(VarDCTmode,Modularmode)","Raster","upto32bitsperchannel","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"KRA","None","Both","grayscale,RGB,XYZ(8bpc,16bpc,float16bpc,float32bpc),CMYK,L*a*b*andYCbCr(8bpc,16bpc,float32bpc)","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"ORA","Lossless","Both","1,2,4,8,16,24,32,48,and64","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"PAM","None","Raster","Upto16","No","Yes","Yes","No","Yes","No","No","No","Yes","No"
"PCX","None,RLE","Raster","1,2,4,8,24and32","Yes","Yes","No","No","Yes","No","No","No","No","No"
"PGF","Lossyandlossless(DWT)","Raster","grayscale:1,8,16,31;RGB:12,16,24,32,and48","Yes","Yes","Yes","Yes","No","No","No","No","Unknown","No"
"PICT","None,RLE,andQuickTime","Both","1,2,4,8,16,24,and32","Yes","Yes","Yes","Unknown","No","No","No","Unknown","No?","No"
"PLD","OptionalZIP,JPEG","Both","1,4,8,16,24,32,48,and64","Unknown","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Yes"
"PNG","Losslessanddeflate","Raster","bitmap(1bpc),indexed(8bpc),grayscaleandRGB(8bpc,16bpc)","Yes","Yes;indexed,grayscaleandRGB","Yes","Yes,Adam7algorithm","No","No(butseeMNGandAPNG)","No","Yes","Yes,viachunks","No,seediscussion"
"PPM","None","Raster","Upto16","No","No","Yes","No","Yes","No","No","No","No","No"
"PSDandPSB","NoneandRLE","Both","bitmap(1bpc),duotone,indexed(8bpc),grayscale,RGB,CMYK,Labandmultichannel(8bpc,16bpc,32bpc)","Yes","Yes;indexed,grayscale,RGB,CMYKandLab","Yes","N/A","No","Yes","Yes","Yes","No?","Yes"
"PSP","None","Both","1,2,8,16,24,32,and48","Yes","Yes;8band16bper-pixelalphachannel","Yes","No","Unknown","No","Yes","Unknown","Unknown","No"
"SVG","Noneandlosslessgzip","Vector","RGB(8bpc)","No","Yes","Yes","N/A","Yes(1.2draft)","Yes(SMIL/SVG)","Yes","Yes","Yes,XMLbased","N/A"
"TGA","None,RLE,andother","Raster","1,2,4,8,16,24,and32","Yes","Yes","Yes","No","No","No","No","No","Unknown","No"
