"","Coupons","Giftcertificates","Membershipdiscounts","Membership-onlycategories","Membership-onlyproducts","Rewardpoints","Specialoffers"
"ApacheOFBiz","Yes","Yes","Yes","No","Yes","No","Yes"
"Batavi","No","No","Yes","No","No","No","Yes"
"BigCommerce","Yes","Yes","Yes","Yes","Yes","3rdparty","Yes"
"DrupalCommerce","Yes","Yes","Yes","Yes","Yes","No","Yes"
"KonaKart","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Magento","Yes","Yes","Yes","Yes","Yes","Yes(EnterpriseEdition)","Yes"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"osCommerce","Add-on","Add-on","No","No","No","No","Yes"
"pimcore","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"SupaDupa","Yes","Yes","No","No","No","No","Yes"
"WooCommerce","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"ZenCart","Yes","Yes","Yes","Add-on","Add-on","Yes","Yes"
"","Coupons","Giftcertificates","Membershipdiscounts","Membership-onlycategories","Membership-onlyproducts","Rewardpoints","Specialoffers"
