"Name","English","Afrikaans","Danish","Dutch","French","German","Italian","Norwegian","Polish","Portuguese","Russian","Spanish","Swedish"
"AgelongTree","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","?","Yes","Yes","No"
"Ahnenblatt","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"AncestralQuest","Yes","No","Yes","No","Yes","Yes","No","Yes","Partial","?","No","Yes","Yes"
"Ancestris","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes"
"Brother'sKeeper","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","?","Yes","No","Yes"
"FamilyHistorian","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"FamilyTreeBuilder","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"FamilyTreeMaker(Windows)","Yes","No","Yes","No","No","No","No","No","No","?","No","No","No"
"FamilyTreeMakerforMac","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"GEDitCOMII","Yes","No","No","No","Yes","No","No","No","No","?","No","Yes","Yes"
"GenboxFamilyHistory","Yes","No","Yes","Yes","Yes","Yes","Yes","Partial","Yes","?","Yes","Partial","Partial"
"GenealogyJ","Yes","No","No","Yes","Yes","Yes","No","No","Yes","?","Yes","Yes","No"
"GenoPro","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","?","Yes","Yes","Yes"
"Gramps","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"Heredis","Yes","No","No","No","Yes","Yes","No","No","No","?","No","No","No"
"LegacyFamilyTree","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","?","No","publictest","Yes"
"LifeLines","Yes","No","Yes","No","Yes","Yes","No","No","No","?","No","No","Yes"
"MacFamilyTree","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Yes","Yes"
"PersonalAncestralFile","(v4.x/5.x)","No","No","No","(v4.x)","(v4.x/5.x)","No","No","No","?","No","(v4.x)","(v5.x)"
"Reunion","Yes","No","No","Yes","Yes","Yes","No","Yes","No","?","No","No","No"
"RootsMagic","Yes","No","No","No","No","No","No","No","No","?","No","No","No"
"TheMasterGenealogist","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","No","?","No","No","Yes"
