"IDE","Widgettoolkit","Platform","Compilers","OpenSource","MadeinD","Notes"
"VisualStudio","Microsoft","Windows","DMD,LDC(LLVM),GDC(GCC)","No","No","VisualStudioextension.VisualD,wroteinD."
"NetBeans","JavaSwing","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana,Java","DMD,LDC(LLVM),GDC(GCC)","Yes","No","NetBeansmodule.NetBeans-D,underMITLicense."
"SlickEdit","Qt","Windows,Linux,MacOS,AIX,HP-UX,Solaris,SolarisSPARC","DMD","No","No",""
"CodeLite","wxWidget","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana","DMD,LDC(LLVM),GDC(GCC)","Yes","No",""
"Xcode","Cocoa","macOS","DMD,GDC(GCC)","No","No","Xcodeplugin.DforXcode,underGPLv2."
"MonoDevelop","GTK#","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana","DMD,LDC(LLVM),GDC(GCC)","Yes","No","MonoDevelopextension.Mono-D,supportVisualDprojectsandDUB,CanbeinstalledonXamarinStudiotoo,underApacheLicense."
"KDevelop","Qt","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana","DMD,LDC(LLVM),GDC(GCC)","Yes","No",""
"Geany","GTK+","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana","DMD,LDC(LLVM),GDC(GCC)","Yes","No","Nativesupport."
"Code::Blocks","wxWidget","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana","DMD,LDC(LLVM),GDC(GCC)","Yes","No","Includespartialsupport."
"Eclipse","SWT","Windows,macOS,Linux,FreeBSD,Solaris,OpenIndiana,Java","DMD","Yes","No","EclipsePlugin.DDT.Dropped."
